id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kategori_terdampak_bencana;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
1;15;JAMBI;1506;150607;06/01/2025;KORBAN;MENINGGAL ;JIWA;0;Rp65.000.000;2025
2;15;JAMBI;1506;150607;06/01/2025;KORBAN;HILANG ;JIWA;0;Rp65.000.000;2025
3;15;JAMBI;1506;150607;06/01/2025;KORBAN;LUKA ;JIWA;0;Rp65.000.000;2025
4;15;JAMBI;1506;150607;06/01/2025;KORBAN;MENDERITA ;JIWA;0;Rp65.000.000;2025
5;15;JAMBI;1506;150607;06/01/2025;KORBAN;MENGUNGSI ;JIWA;0;Rp65.000.000;2025
6;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;RUMAH RB ;UNIT;2;Rp65.000.000;2025
7;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;RUMAH RS ;UNIT;0;Rp65.000.000;2025
8;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;RUMAH RR ;UNIT;2;Rp65.000.000;2025
9;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;RUMAH TERENDAM ;UNIT;0;Rp65.000.000;2025
10;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;SARANA PENDIDIKAN ;UNIT;0;Rp65.000.000;2025
11;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;SARANA IBADAH ;UNIT;0;Rp65.000.000;2025
12;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;SARANA KESEHATAN ;UNIT;0;Rp65.000.000;2025
13;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;PERKANTORAN ;UNIT;0;Rp65.000.000;2025
14;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;BANGUNAN LAIN ;UNIT;0;Rp65.000.000;2025
15;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;JEMBATAN ;UNIT;0;Rp65.000.000;2025
16;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;JALAN ;KM;0;Rp65.000.000;2025
17;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;SAWAH ;HA;0;Rp65.000.000;2025
18;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;KEBUN/HUTAN ;HA;0;Rp65.000.000;2025
19;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;KOLAM ;HA;0;Rp65.000.000;2025
20;15;JAMBI;1506;150607;06/01/2025;KERUSAKAN;IRIGASI ;HA;0;Rp65.000.000;2025
21;15;JAMBI;1501;150122;16/01/2025;KORBAN;MENINGGAL ;JIWA;0; Rp- ;2025
22;15;JAMBI;1501;150122;16/01/2025;KORBAN;HILANG ;JIWA;0; Rp- ;2025
23;15;JAMBI;1501;150122;16/01/2025;KORBAN;LUKA ;JIWA;0; Rp- ;2025
24;15;JAMBI;1501;150122;16/01/2025;KORBAN;MENDERITA ;JIWA;9; Rp- ;2025
25;15;JAMBI;1501;150122;16/01/2025;KORBAN;MENGUNGSI ;JIWA;0; Rp- ;2025
26;15;JAMBI;1501;150122;16/01/2025;KERUSAKAN;RUMAH RB ;UNIT;0; Rp- ;2025
27;15;JAMBI;1501;150122;16/01/2025;KERUSAKAN;RUMAH RS ;UNIT;1; Rp- ;2025
28;15;JAMBI;1501;150122;16/01/2025;KERUSAKAN;RUMAH RR ;UNIT;0; Rp- ;2025
29;15;JAMBI;1501;150122;16/01/2025;KERUSAKAN;RUMAH TERENDAM ;UNIT;0; Rp- ;2025
30;15;JAMBI;1501;150122;16/01/2025;KERUSAKAN;SARANA PENDIDIKAN ;UNIT;0; Rp- ;2025
31;15;JAMBI;1501;150122;16/01/2025;KERUSAKAN;SARANA IBADAH ;UNIT;0; Rp- ;2025
32;15;JAMBI;1501;150122;16/01/2025;KERUSAKAN;SARANA KESEHATAN ;UNIT;0; Rp- ;2025
33;15;JAMBI;1501;150122;16/01/2025;KERUSAKAN;PERKANTORAN ;UNIT;0; Rp- ;2025
34;15;JAMBI;1501;150122;16/01/2025;KERUSAKAN;BANGUNAN LAIN ;UNIT;0; Rp- ;2025
35;15;JAMBI;1501;150122;16/01/2025;KERUSAKAN;JEMBATAN ;UNIT;0; Rp- ;2025
36;15;JAMBI;1501;150122;16/01/2025;KERUSAKAN;JALAN ;KM;0; Rp- ;2025
