id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_perusahaan;nama_pemilik;badan_usaha;kbli_2020;jenis_industri;kategori_industri;jenis_produk;jumlah_produksi;satuan;status;tahun
1;15;JAMBI;1571;157102;1508131001;MADU HUTAN JAMBI;CANDRA LELA;PO;0;-;INDUSTRI MINUMAN;MADU (PENGEMASAN)(P-01)*(GA)*;0;-;-;2023
2;15;JAMBI;1571;157107;1571071002;MADU TUALANG;ASDRIYANTO;PO;0;-;INDUSTRI MINUMAN;MADU (PENGEMASAN);3600;KG;-;2023
3;15;JAMBI;1571;157107;1571071006;MADU TEZA ASLI;MARSDA SURYA;PO;0;-;INDUSTRI MINUMAN;MADU (PENGEMASAN);20;LITER;-;2023
4;15;JAMBI;1571;157101;1571011001;SERAMBI;RIDHO SETIAWAN;PO;0;-;INDUSTRI MINUMAN;MADU (PENGEMASAN);0;-;-;2023
5;15;JAMBI;1571;157103;0;SINDO AQUARIUM;VERAWATI G;CV;10293;IKAN;INDUSTRI MAKANAN;IKAN PEMBEKUAN IKAN & BIO AIR;70000;KG;-;2023
6;15;JAMBI;1571;157109;0;SALIM HADI;SALIM HADI;PO;10299;IKAN , UDANG;INDUSTRI MAKANAN;PENGAWETAN UDANG/IKAN;180000;KG;-;2023
7;15;JAMBI;1571;157103;1571031010;SUPER;SUDIN;PO;10299;RUMPUT LAUT;INDUSTRI MAKANAN;PENGEMASAN RUMPUT LAUT;0;-;-;2023
8;15;JAMBI;1571;157109;1571091003;MERYANT;MERRY FEBRIANTY;PO;10311;BUAH-BUAHAN;INDUSTRI MAKANAN;ASAINAN BUAH;0;KG;-;2023
9;15;JAMBI;1571;157103;1571031005;CAP NANAS;OH LAH NING;PO;10311;BIJI ASAM;INDUSTRI MAKANAN;ASAM JAWA;0;KG;-;2023
10;15;JAMBI;1571;157103;1571111002;USAHA ASAM MANDIRI;PARIDJO;PO;10311;BIJI ASAM;INDUSTRI MAKANAN;ASAM JAWA;0;KG;-;2023
11;15;JAMBI;1571;157103;0;BAHTERA JAYA;-;FIRMA;10311;TOMAT;INDUSTRI MAKANAN;SAUS TOMAT;15000;KG;-;2023
12;15;JAMBI;1571;157103;0;TOESL JAYA;TATANG MARDJOYO;PO;10311;TOMAT;INDUSTRI MAKANAN;SAUS TOMAT;750;LITER;-;2023
13;15;JAMBI;1571;157111;1571111002;USAHA ASAM MANDIRI;PARIDJO;PO;10311;BIJI ASAM;INDUSTRI MAKANAN;ASAM JAWA;0;KG;-;2023
14;15;JAMBI;1571;157109;1571091003;MERYANT;MERRY FEBRIANTY;PO;10311;BUAH-BUAHAN;INDUSTRI MAKANAN;ASAINAN BUAH;0;KG;-;2023
