id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_perusahaan;nama_pemilik;badan_usaha;kbli_2020;jenis_industri;jenis_produk;tenaga_kerja_pria;tenaga_kerja_perempuan;status;tahun
1;15;JAMBI;1503;150303;-;ENTRO SUBOWO;ENTRO SUBOWO;-;10130;Industri Pengolahan dan Pengawetan Produk Daging dan Daging Unggas;WARUNG BAKSO;1;1;-;2024
2;15;JAMBI;1503;150305;1503052022;MARSUDI;MARSUDI;-;10130;Industri Pengolahan dan Pengawetan Produk Daging dan Daging Unggas;BAKSO PRASMANAN;1;1;-;2024
3;15;JAMBI;1503;150305;1503052022;YULIANTO;YULIANTO;-;10130;Industri Pengolahan dan Pengawetan Produk Daging dan Daging Unggas;BAKSO PRASMANAN;1;1;-;2024
4;15;JAMBI;1503;150303;-;SHOHIB;SHOHIB;-;10130;Industri Pengolahan dan Pengawetan Produk Daging dan Daging Unggas;BAKSO & MIE AYAM;2;2;-;2024
5;15;JAMBI;1503;150305;1503052022;ROBIWAN;ROBIWAN;-;10130;Industri Pengolahan dan Pengawetan Produk Daging dan Daging Unggas;BAKSO PRASMANAN;1;1;-;2024
6;15;JAMBI;1503;150310;1503102005;MUNAWIR ZAZALI;MUNAWIR ZAZALI;-;10130;Industri Pengolahan dan Pengawetan Produk Daging dan Daging Unggas;BAKSO BAKAR;1;1;-;2024
7;15;JAMBI;1503;150303;-;YAYAH;YAYAH;-;10313;Industri Pengeringan Buah-buahan Dan Sayuran;BUAH KERING;2;2;-;2024
8;15;JAMBI;1503;150309;-;DESY WASTINI;DESY WASTINI;-;10330;Industri Pengolahan Sari Buah Dan Sayuran;SARI BUAH JERUK;1;1;-;2024
9;15;JAMBI;1503;150306;-;NURLIANA;NURLIANA;-;10330;Industri Pengolahan Sari Buah Dan Sayuran;JUS BUAH;1;1;-;2024
10;15;JAMBI;1503;150309;-;SUKIMAN;SUKIMAN;-;10330;Industri Pengolahan Sari Buah Dan Sayuran;MINUMAN SARI BUAH;1;1;-;2024
11;15;JAMBI;1503;150303;1503031015;TANTRY NUGRAHAENI;TANTRY NUGRAHAENI;-;10330;Industri Pengolahan Sari Buah Dan Sayuran;MINUMAN SARI BUAH;1;1;-;2024
12;15;JAMBI;1503;150308;1503082006;HIPNI YATI;HIPNI YATI;-;10330;Industri Pengolahan Sari Buah Dan Sayuran;MINUMAN SARI BUAH;1;1;-;2024
13;15;JAMBI;1503;150304;-;SITI ZULAIHA;SITI ZULAIHA;-;10330;Industri Pengolahan Sari Buah Dan Sayuran;MINUMAN JUS TEH;1;1;-;2024
14;15;JAMBI;1503;150303;1503031015;NUR HAKIM;NUR HAKIM;-;10330;Industri Pengolahan Sari Buah Dan Sayuran;MINUMAN JUS CAPUCINO;1;1;-;2024
15;15;JAMBI;1503;150303;1504042004;M. SIDIK;M. SIDIK;-;10330;Industri Pengolahan Sari Buah Dan Sayuran;MINUMAN SARI BUAH;1;1;-;2024
16;15;JAMBI;1503;150303;-;ERYAWATI;ERYAWATI;-;10391;Industri Tempe Kedelai;TEMPE KEDELAI;1;1;-;2024
17;15;JAMBI;1503;150305;1502072011;M ANDRE;M ANDRE;-;10391;Industri Tempe Kedelai;TEMPE KEDELAI;1;1;-;2024
