id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_perusahaan;nama_pemilik;badan_usaha;kbli_2020;jenis_industri;jenis_produk;tenaga_kerja_pria;tenaga_kerja_perempuan;status;tahun
1;15;JAMBI;1507;-;-;KUB PAIDA IDI;NURDIANA;SWASTA;10794;-;KERIPIK PISANG;10;0;-;2024
2;15;JAMBI;1507;-;-;KUB DUO BINTANG;ERNI JUNAIDAH;SWASTA;10794;-;KERUPUK UDANG;10;0;-;2024
3;15;JAMBI;1507;-;-;KUB SURYA;SURYANI;SWASTA;10794;-;STICK UDANG;10;0;-;2024
4;15;JAMBI;1507;-;-;KUB ICHA;LIA TARISTINA;SWASTA;10794;-;STICK UDANG;10;0;-;2024
5;15;JAMBI;1507;-;-;KUB CEMPAKA I;RUKIYAH;SWASTA;10794;-;KELETEK UDANG;10;0;-;2024
6;15;JAMBI;1507;-;-;KUB KRIPIK Q;SAMSUL HADI;SWASTA;10794;-;KERIPIK UBI;7;0;-;2024
7;15;JAMBI;1507;-;-;KUB SRI REZEKI;SRI WAHYUNI;SWASTA;31009;-;INSTANT MAHKOTA DEWA;5;0;-;2024
8;15;JAMBI;1507;-;-;KUB KENCANA;MASDIANA;SWASTA;10794;-;KERUPUK UDANG;10;0;-;2024
9;15;JAMBI;1507;-;-;KUB SEROJA;SUKINAH;SWASTA;10710;-;ANEKA KUE KERING;5;0;-;2024
10;15;JAMBI;1507;-;-;KUB TATIM;BESEK TENDRI AMPAK;SWASTA;10794;-;KERIPIK PISANG;5;0;-;2024
11;15;JAMBI;1507;-;-;KUB TERATAI PUTIH;NUR'AFIAH;SWASTA;10794;-;KERUPUK KAYU API;10;0;-;2024
12;15;JAMBI;1507;-;-;KUB ROSE;ROSNIATI;SWASTA;10794;-;KERUPUK KAYU API;5;0;-;2024
13;15;JAMBI;1507;-;-;KUB BAHAGIA;BAHEK;SWASTA;10794;-;KERUPUK KAYU API;4;0;-;2024
14;15;JAMBI;1507;-;-;KUB MAK ITAM;NURJANNAH;SWASTA;10794;-;KERUPUK KAYU API;5;0;-;2024
15;15;JAMBI;1507;-;-;KUB ALVINE;NUR'AINI;SWASTA;10794;-;STICK UDANG;10;0;-;2024
16;15;JAMBI;1507;-;-;KUB DASA WISMA ASOKA;WARDINI;SWASTA;10794;-;ANEKA REMPEYEK;10;0;-;2024
17;15;JAMBI;1507;-;-;KUB DASA WISMA MAWAR;SULASTRI;SWASTA;10750;-;ABON DAGING SAPI;10;0;-;2024
18;15;JAMBI;1507;-;-;KUB DASA WISMA TULIP;SUPRIHATIN;SWASTA;10750;-;ABON IKAN PATIN;10;0;-;2024
19;15;JAMBI;1507;-;-;KUB DASA WISMA ANGGRAK;SUMATRI;SWASTA;10794;-;KERIPIK PISANG;10;0;-;2024
20;15;JAMBI;1507;-;-;KUB TAMEN TARI;FRANSISKA;SWASTA;10794;-;JAMUR CRISPY;5;0;-;2024
21;15;JAMBI;1507;-;-;KUB TIMAH;SUTIMAH;SWASTA;10794;-;KERUPUK KAYU API;5;0;-;2024
22;15;JAMBI;1507;-;-;KUBE CAMAR LAUT;MUHAMMAD YAHYA;SWASTA;10750;-;PENGASINAN IKAN DAN BIOTA LAUT;5;0;-;2024
23;15;JAMBI;1507;-;-;KUB ANUGERAH;RAMLAH WATI;SWASTA;10794;-;KLETEK UDANG;6;0;-;2024
24;15;JAMBI;1507;-;-;KUB ROSMAINI;MASNIATI;SWASTA;10794;-;KERUPUK KAYU API;6;0;-;2024
25;15;JAMBI;1507;-;-;KUB LELY;ROHANA;SWASTA;10794;-;KERUPUK KAYU API;5;0;-;2024
26;15;JAMBI;1507;-;-;KUB TIMAH;SITI MINAH;SWASTA;10794;-;KERUPUK KAYU API;5;0;-;2024
27;15;JAMBI;1507;-;-;KUB ROSMIKA;ASNIATI;SWASTA;10794;-;KERUPUK KAYU API;6;0;-;2024
28;15;JAMBI;1507;-;-;KUB ANDESMIL;BUNGA;SWASTA;10794;-;KERUPUK KAYU API;7;0;-;2024
29;15;JAMBI;1507;-;-;KUB ISYA;SITI ;SWASTA;10794;-;KERUPUK KAYU API;8;0;-;2024
30;15;JAMBI;1507;-;-;KUB CAHAYA;BUNGA TANG;SWASTA;10794;-;KERUPUK KAYU API;5;0;-;2024
31;15;JAMBI;1507;-;-;KUB ASBAH GRUP;FAUZAN ABDUL;SWASTA;10794;-;KERIPIK OPAK BALADO;5;0;-;2024
32;15;JAMBI;1507;-;-;KUB ZAHFIRA;BUHORI;SWASTA;10794;-;KELETEK UDANG;5;0;-;2024
33;15;JAMBI;1507;-;-;KUB ADITYA;NUR'ASIAH;SWASTA;10794;-;KERUPUK KAYU API;5;0;-;2024
34;15;JAMBI;1507;-;-;KUB MADEH SITI;SITI KARYANI;SWASTA;10794;-;KERUPUK UDANG;5;0;-;2024
35;15;JAMBI;1507;-;-;KUB UNCU;ROSIDAH;SWASTA;10794;-;KERUPUK KAYU API;5;0;-;2024
36;15;JAMBI;1507;-;-;KUB IBU KREATIF ;SUPRIANTIN;SWASTA;10794;-;KERIPIK TEMPE;5;0;-;2024
37;15;JAMBI;1507;-;-;KUB USAHA MAJU BERSAMA;SUMINI;SWASTA;10794;-;KERIPIK SINGKONG;10;0;-;2024
38;15;JAMBI;1507;-;-;KUB TETENG; HJ. HASNA;SWASTA;10796;-;TENTENG KACANG, KELAPA;4;0;-;2024
39;15;JAMBI;1507;-;-;KUB C.C SRIKANDI;SRI ASMUTARIA;SWASTA;10796;-;DODOL KEDELAI;10;0;-;2024
40;15;JAMBI;1507;-;-;KUB CEMPAKA;HASIRAH;SWASTA;10794;-;KERUPUK UDANG;5;0;-;2024
41;15;JAMBI;1507;-;-;KUB CEMPAKA;HERMIYANTI;SWASTA;10794;-;KERUPUK UDANG;5;0;-;2024
42;15;JAMBI;1507;-;-;KUB HARUM MELATI;JUMIATI;SWASTA;10794;-;KERUPUK UDANG;5;0;-;2024
43;15;JAMBI;1507;-;-;KUB MAWAR;HAMIDAH;SWASTA;10794;-;KERUPUK UDANG;5;0;-;2024
44;15;JAMBI;1507;-;-;KUB ANEKA RASAA;MULYATI;SWASTA;10794;-;KERIPIK PISANG;10;0;-;2024
45;15;JAMBI;1507;-;-;KUB ISYA;SITTI;SWASTA;10794;-;KERUPUK KAYU API;5;0;-;2024
46;15;JAMBI;1507;-;-;KUB SAHRI;SAHRI;SWASTA;10616;-;TEPUNG TAPIOKA;5;0;-;2024
47;15;JAMBI;1507;-;-;KUB DUO PUTRI;SUSILAWATI;SWASTA;10794;-;KERUPUK KAYU API;5;0;-;2024
48;15;JAMBI;1507;-;-;KUB SUSKES;TRI MULYANI;SWASTA;10216;-;BAKSO AYAM;5;0;-;2024
49;15;JAMBI;1507;-;-;KUB MODERN;NUR'AFIAH;SWASTA;10794;-;KERIPIK PISANG;5;0;-;2024
50;15;JAMBI;1507;-;-;KUB BAROKAH;SARIATI;SWASTA;10794;-;KERIPIK TEMPE;5;0;-;2024
51;15;JAMBI;1507;-;-;KUB USAHA TIGA SAUDARA;NURBAYA;SWASTA;10794;-;KERUPUK UDANG;10;0;-;2024
52;15;JAMBI;1507;-;-;KUB SRI REZEKI;SUHARNI;SWASTA;10796;-;SUSU BUBUK KEDELAI;5;0;-;2024
53;15;JAMBI;1507;-;-;KUB BUNGA DESA;HJ. FARIDA;SWASTA;10794;-;KERUPUK KAYU API;5;0;-;2024
54;15;JAMBI;1507;-;-;KUB DUO SWALO;SUNARIAH;SWASTA;10794;-;KERUPUK KELETEK KAYU API;6;0;-;2024
55;15;JAMBI;1507;-;-;KUB SOYA MAKMUR;TUKIJO;SWASTA;10796;-;SUSU KEDELAI;5;0;-;2024
56;15;JAMBI;1507;-;-;KUB CERMAI;MAIMUNAH PUTRA;SWASTA;10794;-;KERUPUK KAYU API;5;0;-;2024
57;15;JAMBI;1507;-;-;KUB ILHAM;ILHAM;SWASTA;10794;-;KERUPUK UDANG;5;0;-;2024
58;15;JAMBI;1507;-;-;KUB CITRA RASA;SUBAIDAH;SWASTA;10794;-;KERUPUK CUMI;5;0;-;2024
59;15;JAMBI;1507;-;-;KUB SRIKANDI;SRI ASMUTARIA;SWASTA;10796;-;DODOL KEDELAI;10;0;-;2024
60;15;JAMBI;1507;-;-;KUB CEMPAKA II;SITI AMINAH;SWASTA;10796;-;KERUPUK KAYU API ;10;0;-;2024
61;15;JAMBI;1507;-;-;KUB CEMPAKA I;RUKIYAH;SWASTA;10796;-;KERUPUK KAYU API ;10;0;-;2024
62;15;JAMBI;1507;-;-;KUB MUSTIKA BAKERY;CHANDRA;SWASTA;10710;-;BAKERY;5;0;-;2024
63;15;JAMBI;1507;-;-;KUB TEGAR STIK;SITI AMISAH;SWASTA;10794;-;STIK UDANG;5;0;-;2024
64;15;JAMBI;1507;-;-;KUB DANSEL;SUBURAH;SWASTA;10799;-;TELUR ASIN;5;0;-;2024
65;15;JAMBI;1507;-;-;KUB KEYSINIA BAKERY;M. KHAIRIL;SWASTA;10710;-;ROTI;6;0;-;2024
66;15;JAMBI;1507;-;-;KUB CEMARA INDAH;ROSNAINI;SWASTA;10415;-;VCO;7;0;-;2024
67;15;JAMBI;1507;-;-;KUB USAHA BERSAMA;SATI;SWASTA;10613;-;JAHE INSTANT;4;0;-;2024
68;15;JAMBI;1507;-;-;KUB CAHAYA;MEGAWATI;SWASTA;10794;-;KERUPUK UDANG;5;0;-;2024
69;15;JAMBI;1507;-;-;KUB NUR ASIAH;WAHIDAH;SWASTA;10794;-;KERUPUK UDANG;10;0;-;2024
70;15;JAMBI;1507;-;-;KUB CEMPAKA;DEWI;SWASTA;10794;-;KERUPUK UDANG;8;0;-;2024
71;15;JAMBI;1507;-;-;KUB REZEKI ANA;RADIAH;SWASTA;10794;-;KERUPUK UDANG;5;0;-;2024
72;15;JAMBI;1507;-;-;KUB FIRRA;SAMSUL BAHRI;SWASTA;10796;-;DODOL PISANG LILIN;5;0;-;2024
73;15;JAMBI;1507;-;-;KUB TETENG HJ. HASNA;HJ. TETENG HJ. HASNA;SWASTA;10796;-;TEMENG KACANG;10;0;-;2024
74;15;JAMBI;1507;-;-;KUB UNCU;ROSIOLAH;SWASTA;10794;-;KERUPUK KELETEK;10;0;-;2024
75;15;JAMBI;1507;-;-;KUB MANDEH SITI;SITIKAR YANI;SWASTA;10794;-;KERUPUK KELETEK;10;0;-;2024
76;15;JAMBI;1507;-;-;KELOMPOK WANITA TANI IFFA;IFFA RAHAYU;SWASTA;10799;-;TELUR ASIN;4;0;-;2024
77;15;JAMBI;1507;-;-;KELOMPOK TANI SUKO RAHAYU;SITI RAHAYU;SWASTA;10794;-;KERUPUK JANGEK;5;0;-;2024
78;15;JAMBI;1507;-;-;KUB RASAU CERIA;WAHYUDI;SWASTA;10216;-;BAKSO AYAM;3;0;-;2024
79;15;JAMBI;1507;-;-;KUB COW SEJAHTERA;BUDIMAN;SWASTA;10211;-;BAKSO SAPI;3;0;-;2024
80;15;JAMBI;1507;-;-;KELOMPOK TANI NYIUR MAKMUR;BUIRIN;SWASTA;10722;-;GULA MERAH;5;0;-;2024
81;15;JAMBI;1507;-;-;ERNA;ERNA;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
82;15;JAMBI;1507;-;-;SENA;SENA;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
83;15;JAMBI;1507;-;-;MULI;MULI;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
84;15;JAMBI;1507;-;-;HANI;HANI;SWASTA;10211;-;IKAN ASIN;6;0;-;2024
85;15;JAMBI;1507;-;-;SARI;SARI;SWASTA;10211;-;IKAN ASIN;4;0;-;2024
86;15;JAMBI;1507;-;-;NOMPOK;NOMPOK;SWASTA;10211;-;IKAN ASIN;6;0;-;2024
87;15;JAMBI;1507;-;-;SITI;SITI;SWASTA;10211;-;IKAN ASIN;4;0;-;2024
88;15;JAMBI;1507;-;-;HJ. SITI;HJ. SITI;SWASTA;10211;-;IKAN ASIN;3;0;-;2024
89;15;JAMBI;1507;-;-;MIREK;MIREK;SWASTA;10211;-;IKAN ASIN;7;0;-;2024
90;15;JAMBI;1507;-;-;EPA;EPA;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
91;15;JAMBI;1507;-;-;BOLONG;BOLONG;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
92;15;JAMBI;1507;-;-;HJ. KASMAH;HJ. KASMAH;SWASTA;10211;-;IKAN ASIN;4;0;-;2024
93;15;JAMBI;1507;-;-;H. LEBENG;H. LEBENG;SWASTA;10211;-;IKAN ASIN;7;0;-;2024
94;15;JAMBI;1507;-;-;SAODAH;SAODAH;SWASTA;10211;-;IKAN ASIN;8;0;-;2024
95;15;JAMBI;1507;-;-;ULENG;ULENG;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
96;15;JAMBI;1507;-;-;FATTANG;FATTANG;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
97;15;JAMBI;1507;-;-;YULI;YULI;SWASTA;10211;-;IKAN ASIN;6;0;-;2024
98;15;JAMBI;1507;-;-;TENDRI;TENDRI;SWASTA;10211;-;IKAN ASIN;6;0;-;2024
99;15;JAMBI;1507;-;-;MATTANG;MATTANG;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
100;15;JAMBI;1507;-;-;WAK DAR;WAK DAR;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
101;15;JAMBI;1507;-;-;TINI;TINI;SWASTA;10211;-;IKAN ASIN;4;0;-;2024
102;15;JAMBI;1507;-;-;RIKA;RIKA;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
103;15;JAMBI;1507;-;-;BAHRIA;BAHRIA;SWASTA;10211;-;IKAN ASIN;8;0;-;2024
104;15;JAMBI;1507;-;-;RABIK;RABIK;SWASTA;10211;-;IKAN ASIN;7;0;-;2024
105;15;JAMBI;1507;-;-;HJ. SITI RAFA;HJ. SITI RAFA;SWASTA;10211;-;IKAN ASIN;10;0;-;2024
106;15;JAMBI;1507;-;-;SOMPAH;SOMPAH;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
107;15;JAMBI;1507;-;-;SETIAWATI;SITI;SWASTA;10211;-;IKAN ASIN;10;0;-;2024
108;15;JAMBI;1507;-;-;SAHRIA;SAHRIA;SWASTA;10211;-;IKAN ASIN;7;0;-;2024
109;15;JAMBI;1507;-;-;HADRIAH;HADRIAH;SWASTA;10211;-;IKAN ASIN;6;0;-;2024
110;15;JAMBI;1507;-;-;HARNI;HARNI;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
111;15;JAMBI;1507;-;-;POKLAHSAR HARAPAN SEJAHTERA;EDI;SWASTA;10211;-;IKAN ASIN;10;0;-;2024
112;15;JAMBI;1507;-;-;TOYIP;TOYIP;SWASTA;10211;-;IKAN ASIN;6;0;-;2024
113;15;JAMBI;1507;-;-;BENI;BENI;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
114;15;JAMBI;1507;-;-;BOLONG DABEK;BOLONG DABEK;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
115;15;JAMBI;1507;-;-;MURNIATI;MURNIATI;SWASTA;10211;-;IKAN ASIN;7;0;-;2024
116;15;JAMBI;1507;-;-;POKLAHSAR SINAR LAUT;YAMIN;SWASTA;10211;-;IKAN ASIN;7;0;-;2024
117;15;JAMBI;1507;-;-;JAMALUDIN/BERTI;JAMALUDIN;SWASTA;10211;-;IKAN ASIN;6;0;-;2024
118;15;JAMBI;1507;-;-;AISYAH;AISYAH;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
119;15;JAMBI;1507;-;-;KUB PANTAI JABUNG;FATMAWATI;SWASTA;10211;-;IKAN ASIN;10;0;-;2024
120;15;JAMBI;1507;-;-;AMNAH;AMNAH;SWASTA;10211;-;IKAN ASIN;10;0;-;2024
121;15;JAMBI;1507;-;-;MUL;MULI;SWASTA;10211;-;IKAN ASIN;9;0;-;2024
122;15;JAMBI;1507;-;-;ADARIYAH;ADARIYAH;SWASTA;10211;-;IKAN ASIN;10;0;-;2024
123;15;JAMBI;1507;-;-;HELMI;HELMI;SWASTA;10211;-;IKAN ASIN;10;0;-;2024
124;15;JAMBI;1507;-;-;HANIA;HANIA;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
125;15;JAMBI;1507;-;-;HASSA;HASSA;SWASTA;10211;-;IKAN ASIN;5;0;-;2024
126;15;JAMBI;1507;-;-;POKLAHSAR USAHA BERSAMA 2;HASMAWATI;SWASTA;10211;-;IKAN ASIN;10;0;-;2024
127;15;JAMBI;1507;-;-;POKLAHSAR USAHA BERSAMA 3;MARINA;SWASTA;10211;-;IKAN ASIN, EBI;10;0;-;2024
128;15;JAMBI;1507;-;-;POKLAHSAR MANDIRI;HALIMAH;SWASTA;10211;-;IKAN ASIN, EBI;6;0;-;2024
